nombre,artistas,album,fecha_lanzamiento,popularidad,explicit,imagen_url,spotify_url,generos,contenido
Eyes Are Closed,Morgan Wallen,I’m The Problem,2025-05-16,81,True,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/5QEAqQ7NzbTP8Px5N3Ggmi,country,country Morgan Wallen I’m The Problem True
Falling Apart,Morgan Wallen,I’m The Problem,2025-05-16,81,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/0GnNHCDj2WOJl70UUcvAEP,country,country Morgan Wallen I’m The Problem False
Dark Thoughts,Lil Tecca,Dark Thoughts,2025-03-14,92,True,https://i.scdn.co/image/ab67616d0000b273f9a2359739728d2af3284a8e,https://open.spotify.com/track/7EW7Yivb93qKAtp5qEm5of,"melodic rap, rap","melodic rap, rap Lil Tecca Dark Thoughts True"
"Skoal, Chevy, and Browning",Morgan Wallen,I’m The Problem,2025-05-16,80,True,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/6TUf119oQrkteMSKTE1SOf,country,country Morgan Wallen I’m The Problem True
No One Noticed,The Marías,Submarine,2024-05-31,93,False,https://i.scdn.co/image/ab67616d0000b2734d070fdf58fad8c54c5beb85,https://open.spotify.com/track/3siwsiaEoU4Kuuc9WKMUy5,bedroom pop,bedroom pop The Marías Submarine False
TN,Morgan Wallen,I’m The Problem,2025-05-16,80,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/7lq4b3sYM9cYSnCMxCafKe,country,country Morgan Wallen I’m The Problem False
Where'd That Girl Go,Morgan Wallen,I’m The Problem,2025-05-16,80,False,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/72EqPCCpe79JBwtLlVsdZ6,country,country Morgan Wallen I’m The Problem False
Kick Myself,Morgan Wallen,I’m The Problem,2025-05-16,80,True,https://i.scdn.co/image/ab67616d0000b27335ea219ce47813b5e2dc3745,https://open.spotify.com/track/50kjUO9iWqTamrb3va05hu,country,country Morgan Wallen I’m The Problem True
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",F-1 Trillion,2024-08-15,88,True,https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0,https://open.spotify.com/track/5IZXB5IKAD2qlvTPJYDCFB,," Post Malone, Morgan Wallen F-1 Trillion True"
Blue Strips,Jessie Murph,Blue Strips,2025-04-11,88,False,https://i.scdn.co/image/ab67616d0000b27346c039a39a11a3b93d088698,https://open.spotify.com/track/7u7IqryLFAygWFz6bsEB7y,, Jessie Murph Blue Strips False
